pago_id,fecha,uid,pid
10716,2021-12-13,106,21
10700,2021-05-22,64,59
10672,2021-08-04,17,26
10387,2021-03-04,141,99
10439,2021-11-11,9,97
10367,2021-11-20,48,49
10400,2021-08-01,35,35
10521,2021-07-17,57,99
10665,2021-04-19,5,44
10449,2021-02-17,47,64
10453,2021-12-22,62,11
10626,2021-03-11,46,20
10454,2021-06-02,62,81
10546,2021-11-17,12,50
10632,2021-11-26,46,45
10406,2021-09-26,45,65
10382,2020-11-04,141,31
10415,2020-12-31,82,38
10522,2021-11-23,57,75
10366,2021-12-22,48,97
10422,2021-03-09,59,97
10491,2021-05-22,69,83
10444,2021-10-18,32,65
10556,2021-05-05,13,5
10567,2021-11-25,53,5
10575,2021-05-20,72,93
10681,2021-07-26,130,41
10587,2020-07-14,19,8
10464,2021-11-09,105,35
10736,2020-10-14,115,42
10471,2021-05-03,41,26
10401,2020-05-31,45,68
10568,2021-11-25,53,84
10619,2021-07-12,87,42
10455,2021-08-15,62,60
10687,2020-10-22,52,95
10398,2021-08-22,35,5
10516,2021-07-11,36,75
10524,2021-11-21,57,101
10452,2021-10-27,62,54
10533,2021-08-17,20,51
10721,2021-08-02,4,31
10440,2021-06-01,30,53
10602,2021-04-19,28,99
10550,2021-09-28,21,75
10407,2020-11-09,45,79
10722,2021-02-06,4,100
10553,2021-10-16,21,62
10560,2021-11-10,43,74
10502,2021-01-03,51,72
10518,2021-12-11,75,83
10551,2021-11-16,21,13
10472,2021-04-16,41,77
10651,2021-09-23,31,73
10566,2021-11-23,53,13
10615,2020-09-26,56,60
10507,2021-09-29,74,19
10654,2021-08-20,31,44
10531,2021-12-04,20,83
10686,2020-12-28,52,75
10660,2021-05-03,63,1
10484,2021-10-05,133,65
10620,2021-09-16,46,42
10536,2021-10-12,20,81
10496,2021-08-08,92,85
10420,2021-01-24,59,73
10441,2021-05-09,32,42
10448,2020-10-30,47,48
10380,2020-11-16,48,38
10685,2021-08-22,52,5
10404,2021-11-02,45,45
10513,2021-04-12,36,49
10489,2021-08-22,133,62
10470,2021-12-14,41,2
10481,2021-10-04,133,49
10450,2021-02-15,47,88
10713,2021-12-26,142,21
10564,2021-12-23,22,53
10692,2021-12-03,119,42
10383,2021-03-19,141,19
10457,2021-02-11,105,82
10492,2021-06-01,70,93
10414,2021-08-18,82,76
10434,2021-11-11,9,31
10368,2021-10-06,48,95
10725,2021-03-22,38,44
10482,2021-09-21,133,38
10474,2021-07-01,108,39
10514,2021-12-20,36,68
10709,2021-12-30,142,49
10727,2021-12-08,93,35
10609,2021-06-08,50,75
10469,2021-08-30,41,75
10504,2021-03-05,76,74
10591,2021-12-27,122,26
10680,2021-09-11,130,72
10498,2021-03-20,92,100
10477,2021-12-03,44,88
10623,2021-04-02,46,50
10381,2021-02-25,141,60
10624,2021-07-08,46,95
10413,2021-08-30,82,99
10389,2020-07-08,141,5
10639,2020-12-27,24,5
10631,2021-07-09,46,75
10652,2021-10-02,31,99
10642,2021-04-25,24,80
10463,2021-08-20,105,85
10370,2021-03-08,48,20
10659,2021-04-30,63,51
10501,2021-11-26,33,30
10670,2021-01-02,17,50
10541,2021-11-23,132,29
10386,2021-01-31,141,85
10543,2021-06-21,132,90
10480,2021-09-16,67,80
10610,2021-07-13,50,83
10653,2021-02-26,31,19
10426,2021-01-30,59,20
10743,2020-10-30,6,78
10503,2021-07-11,51,61
10658,2021-11-03,134,21
10649,2020-12-15,31,19
10629,2021-12-11,46,5
10520,2021-06-16,57,48
10605,2021-06-05,28,50
10511,2021-03-31,55,78
10425,2021-01-25,59,31
10679,2021-01-30,130,51
10523,2021-08-12,57,77
10714,2021-08-24,142,88
10435,2021-08-14,9,86
10695,2021-09-13,64,21
10734,2021-11-14,115,88
10526,2020-06-03,58,43
10519,2021-12-05,75,85
10595,2021-10-18,97,101
10637,2021-01-04,24,33
10593,2021-10-19,97,65
10411,2021-07-09,82,77
10475,2020-11-10,60,1
10630,2021-03-14,46,66
10456,2021-08-10,62,5
10418,2021-12-11,59,76
10395,2021-04-21,35,75
10458,2020-12-22,105,95
10402,2020-09-29,45,38
10648,2021-11-27,31,54
10682,2021-08-31,130,88
10597,2020-08-25,28,45
10584,2021-12-11,19,96
10508,2020-11-15,74,53
10461,2021-10-14,105,65
10534,2021-12-21,20,65
10691,2021-06-29,119,72
10673,2021-05-02,17,81
10447,2021-04-25,47,21
10731,2021-05-18,93,64
10377,2021-04-27,48,19
10671,2021-09-03,17,65
10662,2021-05-01,8,80
10376,2021-10-31,48,73
10374,2021-11-12,48,65
10576,2021-09-03,72,40
10486,2021-10-07,133,80
10436,2021-11-09,9,99
10655,2021-12-09,31,34
10505,2020-08-27,76,90
10488,2021-03-20,133,20
10443,2021-12-23,32,78
10412,2021-01-06,82,33
10467,2021-05-03,41,86
10598,2021-11-25,28,42
10392,2021-08-02,35,20
10499,2021-09-28,80,20
10459,2021-05-08,105,1
10606,2021-04-11,28,64
10604,2021-03-13,28,99
10468,2021-08-10,41,37
10636,2021-03-22,24,38
10710,2021-09-25,142,75
10431,2021-11-02,9,20
10547,2021-04-05,12,48
10729,2021-12-07,93,5
10674,2021-10-09,17,95
10424,2021-12-29,59,33
10744,2021-12-10,6,62
10592,2021-10-08,97,60
10409,2020-09-25,45,37
10724,2021-03-25,38,100
10696,2021-09-09,64,48
10577,2020-08-20,72,54
10571,2021-12-02,72,72
10465,2021-06-21,105,72
10611,2021-10-09,50,75
10529,2021-11-26,20,54
10596,2021-03-27,97,50
10678,2020-12-25,130,85
10515,2020-12-27,36,5
10530,2021-10-26,20,5
10601,2020-12-21,28,31
10581,2021-10-20,19,19
