cid,genero
2,Drama
124,Ciencia ficción
63,Aventura
89,Thriller
73,Drama
8,Comedia
75,Drama
147,Drama
55,Acción
79,Familiar
86,Thriller
146,Drama
37,Fantasía
38,Acción
73,Ciencia ficción
132,
61,Acción
12,Comedia
59,Acción
122,Comedia
124,Comedia
76,Familiar
114,Comedia
139,Aventura
105,Acción
99,Deporte
33,Fantasía
48,Aventura
137,Fantasía oscura
68,Romance
30,Romance
56,Drama
122,Misterio
98,Thriller
142,Familiar
47,Fantasía
37,Aventura
12,Romance
155,Ciencia ficción
141,Aventura
101,Comedia
75,Thriller
21,Romance
125,Ciencia ficción
89,Misterio
84,Thriller
103,Crimen
71,Ciencia ficción
68,Drama
61,Drama
117,Familiar
130,Crimen
95,Acción
94,Ciencia ficción
77,Comedia
145,Misterio
72,Ciencia ficción
57,Acción
154,Aventura
121,Drama
87,Misterio
58,Acción
152,Crimen
32,Aventura
123,Aventura
23,Romance
64,Aventura
124,Drama
97,Thriller sicológico
60,Acción
1,Romance
9,Comedia
96,Drama
26,Romance
121,Aventura
42,Acción
157,Horror
76,Comedia
149,Drama
136,Ciencia ficción apocalíptica
5,Romance
53,Comedia
93,Drama
4,Romance
92,Drama
5,Comedia
72,Drama
20,Comedia
116,Comedia
129,Drama
53,Drama
91,Histórico
39,Aventura
52,Aventura
39,Acción
66,Comedia
140,Ciencia ficción
115,Comedia
136,Ciencia ficción
65,Comedia
39,Fantasía
104,Crimen
50,Aventura
109,Drama
119,Romance
148,Drama
119,Familiar
137,Drama
122,Drama
43,Acción
126,Comedia
60,Drama
75,Ciencia ficción
152,Aventura
109,Comedia
111,Drama
77,Familiar
105,Fantasía
111,Comedia
143,Comedia
58,Comedia
31,Fantasía
103,Misterio
153,Drama
97,Drama
34,Aventura
83,Familiar
18,Comedia
134,
79,Comedia
129,Histórico
140,Fantasía
21,Comedia
22,Romance
142,Aventura
155,Drama
45,Fantasía
55,Comedia
120,Horror
142,Comedia
40,Fantasía
56,Comedia
45,Acción
7,Comedia
120,Acción
137,Ciencia ficción apocalíptica
96,Thriller
131,Drama
136,Comedia
139,Ciencia ficción
15,Romance
115,Drama
125,Comedia
102,Crimen
56,Aventura
9,Romance
14,Comedia
6,Comedia
106,Comedia
129,Thriller
120,Aventura
72,Thriller
28,Romance
49,Fantasía
26,Comedia
131,Histórico
57,Aventura
57,Drama
123,Acción
144,Drama
5,Drama
94,Acción
106,Acción
91,Drama
60,Comedia
114,Drama
3,Comedia
86,Drama
102,Misterio
67,Comedia
95,Drama
19,Romance
35,Aventura
23,Comedia
123,Comedia
27,Comedia
147,Romance
122,Horror
36,Acción
155,Aventura
65,Drama
33,Aventura
46,Acción
112,Comedia
46,Fantasía
110,Drama
118,Aventura
50,Acción
86,Crimen
118,Familiar
135,Comedia
145,Thriller
54,Aventura
122,Acción
59,Aventura
59,Drama
125,Aventura
54,Comedia
41,Fantasía
54,Acción
99,Comedia
44,Aventura
24,Romance
60,Aventura
41,Acción
13,Romance
122,Aventura
120,Misterio
85,Thriller
87,Thriller
2,Romance
62,Acción
17,Romance
145,Drama
144,Misterio
34,Fantasía
61,Comedia
49,Aventura
113,Drama
29,Comedia
100,Comedia
90,Histórico
42,Aventura
64,Acción
81,Familiar
83,Comedia
144,Thriller
34,Acción
136,Acción
140,Aventura
106,Fantasía
121,Misterio
65,Romance
33,Acción
20,Romance
15,Comedia
11,Romance
125,Drama
137,Comedia
58,Drama
130,Thriller
121,Acción
1,Comedia
94,Drama
116,Drama
150,Thriller
78,Familiar
24,Comedia
69,Romance
48,Acción
13,Comedia
59,Comedia
112,Drama
44,Acción
47,Acción
62,Aventura
129,Crimen
51,Acción
96,Thriller sicológico
41,Aventura
102,Drama
82,Comedia
62,Comedia
35,Fantasía
46,Aventura
117,Aventura
97,Thriller
22,Comedia
118,Romance
92,Histórico
95,Ciencia ficción
141,Comedia
70,Ciencia ficción
120,Comedia
30,Comedia
88,Drama
84,Crimen
74,Thriller
151,Thriller
67,Romance
71,Drama
63,Drama
152,Thriller
54,Drama
29,Romance
47,Aventura
138,Aventura
10,Romance
133,
32,Acción
70,Drama
11,Comedia
37,Acción
14,Romance
107,Comedia
139,Fantasía
108,Drama
66,Drama
74,Drama
98,Drama
121,Horror
36,Fantasía
137,Acción
135,Acción
125,Acción
130,Histórico
127,Comedia
103,Drama
16,Comedia
64,Comedia
150,Aventura
108,Comedia
104,Misterio
53,Acción
120,Drama
80,Comedia
36,Aventura
44,Fantasía
3,Drama
35,Acción
53,Aventura
69,Comedia
98,Thriller sicológico
28,Comedia
42,Fantasía
135,Fantasía oscura
105,Comedia
6,Romance
107,Acción
138,Fantasía
136,Fantasía oscura
135,Drama
89,Drama
143,Familiar
63,Acción
51,Comedia
55,Drama
97,Misterio
98,Misterio
45,Aventura
137,Ciencia ficción
113,Comedia
121,Comedia
55,Aventura
32,Fantasía
49,Acción
148,Romance
51,Drama
150,Crimen
88,Misterio
88,Thriller
48,Fantasía
141,Familiar
25,Comedia
8,Romance
101,Deporte
96,Misterio
156,Horror
85,Drama
93,Ciencia ficción
119,Aventura
51,Aventura
80,Familiar
123,Ciencia ficción
131,Thriller
153,Aventura
104,Drama
138,Ciencia ficción
66,Romance
100,Deporte
27,Romance
149,Romance
19,Comedia
61,Aventura
154,Ciencia ficción
38,Aventura
70,Thriller
84,Drama
31,Aventura
40,Acción
18,Romance
124,Acción
128,Comedia
90,Drama
40,Aventura
151,Crimen
81,Comedia
73,Thriller
68,Comedia
69,Drama
7,Romance
58,Aventura
107,Fantasía
63,Comedia
82,Familiar
131,Crimen
123,Drama
64,Drama
43,Aventura
154,Drama
130,Drama
135,Ciencia ficción apocalíptica
57,Comedia
156,Slasher
4,Comedia
1,Drama
52,Drama
153,Ciencia ficción
50,Fantasía
93,Acción
87,Drama
74,Ciencia ficción
3,Romance
78,Comedia
52,Acción
143,Aventura
117,Romance
157,Slasher
62,Drama
85,Crimen
38,Fantasía
151,Aventura
16,Romance
71,Thriller
43,Fantasía
17,Comedia
136,Drama
67,Drama
31,Acción
146,Misterio
56,Acción
110,Comedia
135,Ciencia ficción
146,Thriller
4,Drama
124,Aventura
25,Romance
52,Comedia
2,Comedia
10,Comedia
