subs_id,monto,uid
336,3700,8
11,4500,35
206,3500,22
337,3700,8
230,3500,28
343,6500,17
141,6500,36
364,7100,64
316,3900,134
346,3900,130
398,3900,4
177,3900,34
143,6500,36
5,3100,48
277,4400,46
417,4400,90
65,5000,10
123,4500,2
315,3100,31
57,6500,108
409,7400,115
239,3700,54
332,3700,61
28,4000,9
258,4000,56
338,3100,5
340,4000,5
285,6500,77
180,3700,21
352,7100,119
36,6400,62
222,6500,7
191,6400,13
276,6500,23
13,6400,45
419,2800,90
186,6400,18
155,3700,57
83,6500,133
111,6500,51
251,3900,16
416,3200,6
88,3500,70
39,3500,62
305,4000,24
208,2800,22
400,4500,4
358,6500,119
182,4000,21
170,3200,14
269,4000,23
406,3700,93
145,4000,36
42,6500,105
106,6400,37
22,3100,40
221,7100,19
178,7900,34
53,4500,108
234,3700,28
357,3700,119
379,7400,1
335,5000,8
97,3700,92
24,3200,146
255,7900,16
259,7400,56
324,7900,63
62,3100,42
60,3500,60
116,4000,76
377,3100,1
200,2800,15
369,3900,73
291,4000,26
32,3700,32
38,3900,62
342,3900,17
298,6500,49
144,4500,36
90,4500,70
260,4500,3
89,7000,70
7,3900,141
45,3700,105
3,4000,48
35,7100,47
193,7900,13
149,7400,75
247,6500,16
158,3700,58
228,3200,97
244,3700,50
148,3200,75
188,7100,18
205,4000,22
350,3200,52
37,4400,62
124,4400,2
271,6500,23
411,3900,115
320,5000,134
159,3500,58
389,5000,106
40,7900,62
415,4000,6
29,6500,30
254,2800,16
166,4000,14
408,7000,115
321,7100,63
372,3900,25
410,5000,115
297,2800,49
287,3200,77
263,7000,87
151,7100,71
46,2800,41
262,7900,3
311,6400,31
199,7000,43
329,3900,61
136,4000,55
82,7000,133
307,6500,11
265,7000,95
20,3100,59
299,7900,65
279,7100,46
412,3700,115
167,3900,14
130,5000,68
157,4500,57
246,4500,50
76,3900,44
120,7000,2
71,7000,44
126,7400,39
322,3900,63
349,6500,52
58,4000,108
4,3200,48
293,3700,49
330,6500,61
63,2800,10
413,3700,115
249,5000,16
211,3100,22
414,4000,115
187,4400,18
331,3700,61
300,4000,65
85,7100,133
215,7000,72
109,3700,37
74,7400,44
95,7400,92
185,3700,18
292,3500,26
328,4000,61
241,7400,54
6,3700,141
296,3500,49
397,3200,4
290,3900,26
99,3100,33
371,3500,73
59,7900,60
376,4000,25
26,6500,146
384,7400,142
80,7000,67
135,6500,74
172,3700,132
139,3700,55
216,7900,72
386,3900,142
34,3900,47
107,3500,37
115,3100,76
67,7400,66
360,3200,119
56,3200,108
407,4000,115
138,4400,55
217,4000,72
127,3700,39
375,4500,25
110,2800,37
128,2800,68
310,7100,11
275,3700,23
77,3700,44
225,6500,122
236,3100,54
2,6500,48
146,3900,75
150,4000,71
25,7000,146
68,6500,66
154,4000,57
51,6500,41
227,3500,97
21,7100,40
256,7900,56
31,6500,32
125,3100,39
367,6500,73
23,6500,40
347,3900,52
117,2800,76
64,4000,10
103,3200,33
286,2800,77
133,3700,74
394,6500,106
250,6500,16
351,4000,123
232,3100,28
325,3100,63
44,7900,105
196,7100,43
41,3700,105
284,3500,77
160,3700,58
189,6500,13
8,3200,141
355,7400,119
169,3700,14
70,6400,44
171,4400,132
192,3900,13
283,7900,77
402,3100,38
48,3900,41
214,3200,72
282,3700,46
176,3700,12
114,7400,76
363,4400,64
75,4500,44
79,3700,67
289,7000,26
373,4000,25
313,6500,31
274,6400,23
30,3700,30
405,7100,93
303,2800,24
100,6400,33
175,4400,12
156,3100,57
194,3200,13
359,3500,119
105,3700,33
104,7400,33
368,4400,73
10,7100,35
272,7900,23
101,3700,33
43,3900,105
49,4500,41
121,7900,2
253,4500,16
47,4000,41
54,3700,108
122,6400,2
202,3100,15
395,3200,106
190,3700,13
94,6500,92
399,7100,4
17,2800,82
302,6500,24
237,6500,54
152,7900,71
55,7900,108
168,7100,14
323,4500,63
153,7100,57
33,5000,32
356,3700,119
226,4000,122
98,7900,80
131,7900,74
147,5000,75
84,4000,133
257,7000,56
96,4500,92
113,3700,51
353,3900,119
52,3500,27
27,3100,9
261,3500,3
203,3700,15
207,3200,22
229,4000,97
140,5000,36
220,7400,19
281,6400,46
129,6500,68
69,3100,66
14,6500,45
61,6500,60
304,3700,24
391,6500,106
12,6500,35
341,4000,5
345,7400,130
181,4000,21
278,7900,46
195,4000,43
91,3500,92
78,3900,67
401,2800,38
388,7100,142
174,3200,12
319,6500,134
142,3500,36
201,4000,15
361,4000,102
102,7900,33
219,6500,19
326,4000,63
209,4400,22
224,3200,7
86,7400,69
9,7400,141
288,6500,26
245,3200,50
231,3700,28
163,6400,14
314,3200,31
137,4500,55
198,7400,43
387,7900,142
396,2800,106
235,5000,54
248,3700,16
15,3700,45
273,4400,23
173,3900,12
264,3500,87
213,4000,53
165,7900,14
309,4000,11
403,4000,93
354,4500,119
382,5000,1
295,4400,49
390,7000,106
306,2800,11
238,4000,54
119,3700,2
348,3100,52
418,7000,90
66,3900,10
381,7000,1
18,3700,59
112,7900,51
266,3900,95
268,4000,23
197,4400,43
370,3700,73
134,3500,74
252,4400,16
179,3700,34
50,4000,41
161,3900,20
312,2800,31
327,5000,63
204,7400,15
294,3700,49
366,6400,73
318,7100,134
362,3100,64
92,7100,92
404,7900,93
210,6500,22
243,7100,50
72,7900,44
19,2800,59
233,4000,28
223,4000,7
365,6500,64
267,3700,23
339,7100,5
270,3200,23
93,3900,92
242,7900,54
183,3100,21
392,7100,106
73,3100,44
184,7100,21
212,4500,22
240,3200,54
118,3700,76
132,6400,74
108,7000,37
374,6500,25
344,3500,130
81,2800,67
16,3200,82
378,7100,1
334,4400,8
385,6500,142
333,7100,8
301,3200,65
162,4000,20
280,6500,46
218,7900,19
383,5000,142
87,2800,70
1,7000,29
380,7900,1
164,7000,14
308,4500,11
317,6500,134
393,4500,106
