id_capitulo,genero
97,Thriller sicológico
96,Thriller sicológico
98,Thriller sicológico
89,Thriller
86,Thriller
98,Thriller
75,Thriller
84,Thriller
96,Thriller
129,Thriller
72,Thriller
145,Thriller
85,Thriller
87,Thriller
144,Thriller
130,Thriller
150,Thriller
97,Thriller
74,Thriller
151,Thriller
152,Thriller
88,Thriller
131,Thriller
70,Thriller
73,Thriller
71,Thriller
146,Thriller
156,Slasher
157,Slasher
68,Romance
30,Romance
12,Romance
21,Romance
23,Romance
1,Romance
26,Romance
5,Romance
4,Romance
119,Romance
22,Romance
15,Romance
9,Romance
28,Romance
19,Romance
147,Romance
24,Romance
13,Romance
2,Romance
17,Romance
65,Romance
20,Romance
11,Romance
69,Romance
118,Romance
67,Romance
29,Romance
10,Romance
14,Romance
6,Romance
148,Romance
8,Romance
66,Romance
27,Romance
149,Romance
18,Romance
7,Romance
3,Romance
117,Romance
16,Romance
25,Romance
122,Misterio
89,Misterio
145,Misterio
87,Misterio
103,Misterio
102,Misterio
120,Misterio
144,Misterio
121,Misterio
104,Misterio
97,Misterio
98,Misterio
88,Misterio
96,Misterio
146,Misterio
157,Horror
120,Horror
122,Horror
121,Horror
156,Horror
91,Histórico
129,Histórico
131,Histórico
90,Histórico
92,Histórico
130,Histórico
137,Fantasía oscura
135,Fantasía oscura
136,Fantasía oscura
37,Fantasía
33,Fantasía
47,Fantasía
39,Fantasía
105,Fantasía
31,Fantasía
140,Fantasía
45,Fantasía
40,Fantasía
49,Fantasía
46,Fantasía
41,Fantasía
34,Fantasía
106,Fantasía
35,Fantasía
139,Fantasía
36,Fantasía
44,Fantasía
42,Fantasía
138,Fantasía
32,Fantasía
48,Fantasía
107,Fantasía
50,Fantasía
38,Fantasía
43,Fantasía
79,Familiar
76,Familiar
142,Familiar
117,Familiar
119,Familiar
77,Familiar
83,Familiar
118,Familiar
81,Familiar
78,Familiar
143,Familiar
141,Familiar
80,Familiar
82,Familiar
2,Drama
73,Drama
75,Drama
147,Drama
146,Drama
56,Drama
68,Drama
61,Drama
121,Drama
124,Drama
96,Drama
149,Drama
93,Drama
92,Drama
72,Drama
129,Drama
53,Drama
109,Drama
148,Drama
137,Drama
122,Drama
60,Drama
111,Drama
153,Drama
97,Drama
155,Drama
131,Drama
115,Drama
57,Drama
144,Drama
5,Drama
91,Drama
114,Drama
86,Drama
95,Drama
65,Drama
110,Drama
59,Drama
145,Drama
113,Drama
125,Drama
58,Drama
94,Drama
116,Drama
112,Drama
102,Drama
88,Drama
71,Drama
63,Drama
54,Drama
70,Drama
108,Drama
66,Drama
74,Drama
98,Drama
103,Drama
120,Drama
3,Drama
135,Drama
89,Drama
55,Drama
51,Drama
85,Drama
104,Drama
84,Drama
90,Drama
69,Drama
123,Drama
64,Drama
154,Drama
130,Drama
1,Drama
52,Drama
87,Drama
62,Drama
136,Drama
67,Drama
4,Drama
99,Deporte
101,Deporte
100,Deporte
103,Crimen
130,Crimen
152,Crimen
104,Crimen
102,Crimen
86,Crimen
129,Crimen
84,Crimen
150,Crimen
151,Crimen
131,Crimen
85,Crimen
8,Comedia
12,Comedia
122,Comedia
124,Comedia
114,Comedia
101,Comedia
77,Comedia
9,Comedia
76,Comedia
53,Comedia
5,Comedia
20,Comedia
116,Comedia
66,Comedia
115,Comedia
65,Comedia
126,Comedia
109,Comedia
111,Comedia
143,Comedia
58,Comedia
18,Comedia
79,Comedia
21,Comedia
55,Comedia
142,Comedia
56,Comedia
7,Comedia
136,Comedia
125,Comedia
14,Comedia
6,Comedia
106,Comedia
26,Comedia
60,Comedia
3,Comedia
67,Comedia
23,Comedia
123,Comedia
27,Comedia
112,Comedia
135,Comedia
54,Comedia
99,Comedia
61,Comedia
29,Comedia
100,Comedia
83,Comedia
15,Comedia
137,Comedia
1,Comedia
24,Comedia
13,Comedia
59,Comedia
82,Comedia
62,Comedia
22,Comedia
141,Comedia
120,Comedia
30,Comedia
11,Comedia
107,Comedia
127,Comedia
16,Comedia
64,Comedia
108,Comedia
80,Comedia
69,Comedia
28,Comedia
105,Comedia
51,Comedia
113,Comedia
121,Comedia
25,Comedia
19,Comedia
128,Comedia
81,Comedia
68,Comedia
63,Comedia
57,Comedia
4,Comedia
78,Comedia
17,Comedia
110,Comedia
52,Comedia
2,Comedia
10,Comedia
136,Ciencia ficción apocalíptica
137,Ciencia ficción apocalíptica
135,Ciencia ficción apocalíptica
124,Ciencia ficción
73,Ciencia ficción
155,Ciencia ficción
125,Ciencia ficción
71,Ciencia ficción
94,Ciencia ficción
72,Ciencia ficción
140,Ciencia ficción
136,Ciencia ficción
75,Ciencia ficción
139,Ciencia ficción
95,Ciencia ficción
70,Ciencia ficción
137,Ciencia ficción
93,Ciencia ficción
123,Ciencia ficción
138,Ciencia ficción
154,Ciencia ficción
153,Ciencia ficción
74,Ciencia ficción
135,Ciencia ficción
63,Aventura
139,Aventura
48,Aventura
37,Aventura
141,Aventura
154,Aventura
32,Aventura
123,Aventura
64,Aventura
121,Aventura
39,Aventura
52,Aventura
50,Aventura
152,Aventura
34,Aventura
142,Aventura
56,Aventura
120,Aventura
57,Aventura
35,Aventura
155,Aventura
33,Aventura
118,Aventura
54,Aventura
59,Aventura
125,Aventura
44,Aventura
60,Aventura
122,Aventura
49,Aventura
42,Aventura
140,Aventura
62,Aventura
41,Aventura
46,Aventura
117,Aventura
47,Aventura
138,Aventura
150,Aventura
36,Aventura
53,Aventura
45,Aventura
55,Aventura
119,Aventura
51,Aventura
153,Aventura
61,Aventura
38,Aventura
31,Aventura
40,Aventura
58,Aventura
43,Aventura
143,Aventura
151,Aventura
124,Aventura
55,Acción
38,Acción
61,Acción
59,Acción
105,Acción
95,Acción
57,Acción
58,Acción
60,Acción
42,Acción
39,Acción
43,Acción
45,Acción
120,Acción
123,Acción
94,Acción
106,Acción
36,Acción
46,Acción
50,Acción
122,Acción
54,Acción
41,Acción
62,Acción
64,Acción
34,Acción
136,Acción
33,Acción
121,Acción
48,Acción
44,Acción
47,Acción
51,Acción
32,Acción
37,Acción
137,Acción
135,Acción
125,Acción
53,Acción
35,Acción
107,Acción
63,Acción
49,Acción
40,Acción
124,Acción
93,Acción
52,Acción
31,Acción
56,Acción
132,Acción
134,Acción
133,Acción
