id,estado,fecha_inicio,id_proveedor,id_usuario,fecha_termino,proveedor,costo
377,activa,2020-12-12,13,1,2023-12-12,Sony Liv,3100
378,activa,2021-10-11,7,1,2023-12-11,Star+,7100
119,activa,2021-08-06,15,2,2023-12-06,Discovery+,3700
124,activa,2020-06-11,3,2,2023-12-11,Crunchyroll,4400
123,activa,2021-01-21,1,2,2023-12-21,Netflix,4500
122,activa,2021-04-16,17,2,2023-12-16,Sky,6400
120,activa,2020-07-28,8,2,2023-12-28,Hulu,7000
121,activa,2020-12-13,10,2,2023-12-13,Stan,7900
261,activa,2020-07-22,4,3,2023-12-22,HBO+,3500
260,activa,2021-03-08,1,3,2023-12-08,Netflix,4500
262,activa,2021-08-04,10,3,2023-12-04,Stan,7900
338,activa,2020-08-28,13,5,2023-12-28,Sony Liv,3100
340,activa,2020-08-20,20,5,2023-12-20,DCCanal,4000
341,activa,2021-10-27,11,5,2023-12-27,Peackok,4000
416,activa,2020-06-04,9,6,2023-12-04,Showtime,3200
415,activa,2020-06-28,11,6,2023-12-28,Peackok,4000
224,activa,2021-07-22,9,7,2023-12-22,Showtime,3200
223,activa,2021-07-05,11,7,2023-12-05,Peackok,4000
222,activa,2021-12-14,16,7,2023-12-14,Rakuten TV,6500
336,activa,2021-02-16,19,8,2023-12-16,Mitele Plus,3700
337,activa,2021-03-21,2,8,2023-12-21,Amazon Prime Video,3700
333,activa,2021-11-20,7,8,2023-12-20,Star+,7100
28,activa,2020-05-25,20,9,2023-12-25,DCCanal,4000
63,activa,2020-12-20,18,10,2023-12-20,ATRESplayer,2800
66,activa,2021-07-30,5,10,2023-12-30,Funimation,3900
64,activa,2020-11-25,20,10,2023-12-25,DCCanal,4000
65,activa,2020-08-15,12,10,2023-12-15,Viu,5000
306,activa,2021-08-19,18,11,2023-12-19,ATRESplayer,2800
309,activa,2021-08-27,20,11,2023-12-27,DCCanal,4000
174,activa,2020-08-12,9,12,2023-12-12,Showtime,3200
176,activa,2020-08-06,15,12,2023-12-06,Discovery+,3700
173,activa,2020-11-20,5,12,2023-12-20,Funimation,3900
175,activa,2021-08-04,3,12,2023-12-04,Crunchyroll,4400
194,activa,2021-01-07,9,13,2023-12-07,Showtime,3200
190,activa,2021-03-10,15,13,2023-12-10,Discovery+,3700
192,activa,2020-07-07,5,13,2023-12-07,Funimation,3900
191,activa,2021-05-30,17,13,2023-12-30,Sky,6400
193,activa,2021-04-06,10,13,2023-12-06,Stan,7900
170,activa,2020-06-02,9,14,2023-12-02,Showtime,3200
169,activa,2021-08-12,15,14,2023-12-12,Discovery+,3700
167,activa,2020-10-21,5,14,2023-12-21,Funimation,3900
166,activa,2020-11-08,20,14,2023-12-08,DCCanal,4000
164,activa,2021-11-19,8,14,2023-12-19,Hulu,7000
168,activa,2021-02-12,7,14,2023-12-12,Star+,7100
200,activa,2020-08-01,18,15,2023-12-01,ATRESplayer,2800
202,activa,2021-06-25,13,15,2023-12-25,Sony Liv,3100
201,activa,2020-12-01,20,15,2023-12-01,DCCanal,4000
204,activa,2021-11-05,14,15,2023-12-05,Movistar+ Lite,7400
254,activa,2021-02-23,18,16,2023-12-23,ATRESplayer,2800
252,activa,2021-09-25,3,16,2023-12-25,Crunchyroll,4400
253,activa,2021-06-29,1,16,2023-12-29,Netflix,4500
249,activa,2020-12-01,12,16,2023-12-01,Viu,5000
250,activa,2020-11-05,16,16,2023-12-05,Rakuten TV,6500
247,activa,2020-07-15,6,16,2023-12-15,Disney+,6500
255,activa,2020-07-23,10,16,2023-12-23,Stan,7900
343,activa,2020-05-13,6,17,2023-12-13,Disney+,6500
