id,estado,fecha_inicio,id_proveedor,id_usuario,fecha_termino,proveedor,costo
382,cancelada,2021-11-13,12,1,2023-11-24,Viu,5000
381,cancelada,2020-08-05,8,1,2020-11-26,Hulu,7000
379,cancelada,2021-06-16,14,1,2023-11-19,Movistar+ Lite,7400
380,cancelada,2021-12-12,10,1,2023-12-18,Stan,7900
397,cancelada,2021-06-26,9,4,2023-08-31,Showtime,3200
398,cancelada,2020-07-25,5,4,2020-10-10,Funimation,3900
400,cancelada,2020-08-22,1,4,2023-09-27,Netflix,4500
399,cancelada,2020-11-30,7,4,2023-10-02,Star+,7100
339,cancelada,2021-11-09,7,5,2023-12-03,Star+,7100
334,cancelada,2021-11-03,3,8,2023-11-09,Crunchyroll,4400
335,cancelada,2021-07-15,12,8,2023-10-28,Viu,5000
27,cancelada,2021-10-30,13,9,2023-11-12,Sony Liv,3100
308,cancelada,2021-09-07,1,11,2023-09-28,Netflix,4500
307,cancelada,2020-10-13,16,11,2023-06-30,Rakuten TV,6500
310,cancelada,2020-10-03,7,11,2023-08-11,Star+,7100
189,cancelada,2021-07-13,6,13,2023-12-16,Disney+,6500
163,cancelada,2021-05-12,17,14,2023-10-04,Sky,6400
165,cancelada,2021-06-26,10,14,2023-09-16,Stan,7900
203,cancelada,2020-12-31,15,15,2023-11-29,Discovery+,3700
248,cancelada,2020-06-29,15,16,2023-02-26,Discovery+,3700
251,cancelada,2021-07-12,5,16,2023-11-20,Funimation,3900
342,cancelada,2020-06-25,5,17,2023-11-14,Funimation,3900
185,cancelada,2021-01-09,15,18,2023-11-14,Discovery+,3700
221,cancelada,2020-06-09,7,19,2020-10-16,Star+,7100
162,cancelada,2020-05-05,20,20,2020-07-14,DCCanal,4000
183,cancelada,2020-07-20,13,21,2023-01-20,Sony Liv,3100
184,cancelada,2021-05-25,7,21,2023-07-07,Star+,7100
209,cancelada,2021-04-23,3,22,2023-11-13,Crunchyroll,4400
270,cancelada,2021-08-29,9,23,2023-09-23,Showtime,3200
269,cancelada,2020-08-28,11,23,2023-05-15,Peackok,4000
304,cancelada,2020-10-03,2,24,2023-08-12,Amazon Prime Video,3700
290,cancelada,2021-10-17,5,26,2023-11-13,Funimation,3900
291,cancelada,2021-07-01,11,26,2023-08-11,Peackok,4000
288,cancelada,2020-12-24,16,26,2023-11-30,Rakuten TV,6500
289,cancelada,2021-01-24,8,26,2023-03-17,Hulu,7000
233,cancelada,2021-06-04,20,28,2023-07-20,DCCanal,4000
1,cancelada,2021-06-08,8,29,2023-09-02,Hulu,7000
30,cancelada,2021-06-06,15,30,2023-06-26,Discovery+,3700
315,cancelada,2021-03-09,13,31,2023-10-18,Sony Liv,3100
314,cancelada,2020-10-05,9,31,2020-12-07,Showtime,3200
311,cancelada,2020-10-25,17,31,2023-07-08,Sky,6400
33,cancelada,2020-12-21,12,32,2023-10-01,Viu,5000
105,cancelada,2021-01-17,19,33,2023-11-02,Mitele Plus,3700
179,cancelada,2020-12-04,2,34,2023-06-14,Amazon Prime Video,3700
177,cancelada,2021-07-09,5,34,2023-08-25,Funimation,3900
178,cancelada,2021-03-28,10,34,2023-10-31,Stan,7900
142,cancelada,2020-05-30,4,36,2023-01-02,HBO+,3500
109,cancelada,2021-02-22,19,37,2023-11-30,Mitele Plus,3700
108,cancelada,2021-11-10,8,37,2023-11-27,Hulu,7000
401,cancelada,2020-09-14,18,38,2023-08-06,ATRESplayer,2800
402,cancelada,2020-12-18,13,38,2023-09-11,Sony Liv,3100
48,cancelada,2020-08-28,5,41,2023-01-26,Funimation,3900
62,cancelada,2020-08-17,13,42,2023-05-17,Sony Liv,3100
195,cancelada,2020-05-20,11,43,2023-06-08,Peackok,4000
198,cancelada,2021-09-12,14,43,2023-11-16,Movistar+ Lite,7400
77,cancelada,2020-06-05,2,44,2020-11-20,Amazon Prime Video,3700
75,cancelada,2021-07-16,1,44,2023-12-14,Netflix,4500
15,cancelada,2020-05-05,19,45,2023-01-25,Mitele Plus,3700
13,cancelada,2020-08-18,17,45,2023-07-14,Sky,6400
282,cancelada,2020-05-27,15,46,2023-01-01,Discovery+,3700
281,cancelada,2021-08-15,17,46,2023-11-01,Sky,6400
279,cancelada,2021-04-17,7,46,2023-07-28,Star+,7100
278,cancelada,2020-11-10,10,46,2023-03-16,Stan,7900
34,cancelada,2020-08-08,5,47,2023-10-01,Funimation,3900
35,cancelada,2020-09-15,7,47,2023-06-07,Star+,7100
113,cancelada,2020-08-07,19,51,2023-05-03,Mitele Plus,3700
111,cancelada,2021-03-13,6,51,2023-08-23,Disney+,6500
112,cancelada,2020-11-07,10,51,2020-11-07,Stan,7900
348,cancelada,2021-10-01,13,52,2023-12-04,Sony Liv,3100
213,cancelada,2021-11-22,11,53,2023-11-26,Peackok,4000
237,cancelada,2020-09-28,16,54,2023-07-04,Rakuten TV,6500
241,cancelada,2021-05-30,14,54,2023-09-12,Movistar+ Lite,7400
139,cancelada,2020-06-13,15,55,2023-09-24,Discovery+,3700
256,cancelada,2021-03-24,10,56,2023-10-09,Stan,7900
155,cancelada,2020-05-14,15,57,2020-08-25,Discovery+,3700
20,cancelada,2020-08-26,13,59,2023-06-13,Sony Liv,3100
18,cancelada,2021-07-02,19,59,2023-10-12,Mitele Plus,3700
60,cancelada,2020-10-29,4,60,2023-09-11,HBO+,3500
61,cancelada,2021-07-12,6,60,2023-09-28,Disney+,6500
59,cancelada,2020-07-22,10,60,2023-01-16,Stan,7900
39,cancelada,2021-01-05,4,62,2023-09-15,HBO+,3500
37,cancelada,2020-11-09,3,62,2023-09-11,Crunchyroll,4400
40,cancelada,2021-06-17,10,62,2023-11-21,Stan,7900
327,cancelada,2021-07-09,12,63,2023-08-22,Viu,5000
365,cancelada,2021-08-21,6,64,2023-10-13,Disney+,6500
80,cancelada,2021-08-27,8,67,2023-12-09,Hulu,7000
87,cancelada,2021-10-14,18,70,2023-10-30,ATRESplayer,2800
151,cancelada,2021-01-29,7,71,2023-12-07,Star+,7100
152,cancelada,2021-04-14,10,71,2023-10-03,Stan,7900
366,cancelada,2021-08-21,17,73,2023-10-26,Sky,6400
131,cancelada,2021-05-19,10,74,2023-11-18,Stan,7900
148,cancelada,2020-07-20,9,75,2020-12-29,Showtime,3200
147,cancelada,2021-07-21,12,75,2023-10-27,Viu,5000
149,cancelada,2021-12-10,14,75,2023-12-17,Movistar+ Lite,7400
118,cancelada,2020-07-08,15,76,2020-12-06,Discovery+,3700
114,cancelada,2021-07-21,14,76,2023-09-27,Movistar+ Lite,7400
287,cancelada,2021-02-13,9,77,2023-12-12,Showtime,3200
283,cancelada,2021-10-12,10,77,2023-11-14,Stan,7900
16,cancelada,2021-08-30,9,82,2023-09-04,Showtime,3200
418,cancelada,2021-09-02,8,90,2023-10-06,Hulu,7000
91,cancelada,2021-04-06,4,92,2023-05-25,HBO+,3500
93,cancelada,2020-06-25,5,92,2020-08-10,Funimation,3900
96,cancelada,2021-03-05,1,92,2023-05-12,Netflix,4500
94,cancelada,2020-10-12,6,92,2023-02-03,Disney+,6500
92,cancelada,2021-12-08,7,92,2023-12-14,Star+,7100
265,cancelada,2021-01-24,8,95,2023-11-08,Hulu,7000
395,cancelada,2021-06-08,9,106,2023-06-26,Showtime,3200
389,cancelada,2020-06-08,12,106,2023-05-26,Viu,5000
394,cancelada,2020-10-21,16,106,2023-01-08,Rakuten TV,6500
391,cancelada,2021-05-27,6,106,2023-07-24,Disney+,6500
56,cancelada,2021-09-18,9,108,2023-12-10,Showtime,3200
58,cancelada,2021-08-14,20,108,2023-10-04,DCCanal,4000
412,cancelada,2020-06-15,19,115,2020-09-28,Mitele Plus,3700
408,cancelada,2020-12-24,8,115,2023-11-09,Hulu,7000
356,cancelada,2021-07-05,15,119,2023-07-19,Discovery+,3700
354,cancelada,2021-11-22,1,119,2023-12-18,Netflix,4500
358,cancelada,2021-07-30,6,119,2023-12-19,Disney+,6500
344,cancelada,2021-06-12,4,130,2023-09-23,HBO+,3500
