pago_id,fecha,subs_id
6368,8/6/2021,1
6369,8/7/2021,1
6370,8/8/2021,1
6371,8/9/2023,1
6376,27/9/2020,2
6377,27/10/2020,2
6378,27/11/2020,2
6379,27/12/2020,2
6380,27/1/2021,2
6381,27/2/2021,2
6382,27/3/2021,2
6383,27/4/2021,2
6372,27/5/2021,2
6384,27/6/2021,2
6373,27/7/2021,2
6385,27/8/2021,2
6374,27/9/2021,2
6386,27/10/2021,2
6375,27/11/2021,2
6387,27/12/2023,2
6392,21/9/2020,3
6393,21/10/2020,3
6394,21/11/2020,3
6395,21/12/2020,3
6396,21/1/2021,3
6397,21/2/2021,3
6398,21/3/2021,3
6399,21/4/2021,3
6388,21/5/2021,3
6400,21/6/2021,3
6389,21/7/2021,3
6401,21/8/2021,3
6390,21/9/2021,3
6402,21/10/2021,3
6391,21/11/2021,3
6403,21/12/2023,3
6404,19/4/2021,4
6405,19/5/2021,4
6406,19/6/2021,4
6407,19/7/2021,4
6408,19/8/2021,4
6409,19/9/2021,4
6410,19/10/2021,4
6411,19/11/2021,4
6412,19/12/2023,4
6413,1/11/2020,5
6414,1/12/2020,5
6415,1/1/2021,5
6416,1/2/2021,5
6417,1/3/2021,5
6418,1/4/2021,5
6419,1/5/2021,5
6420,1/6/2021,5
6421,1/7/2021,5
6422,1/8/2021,5
6423,1/9/2021,5
6424,1/10/2021,5
6425,1/11/2021,5
6426,1/12/2023,5
6430,13/10/2020,6
6431,13/11/2020,6
6432,13/12/2020,6
6433,13/1/2021,6
6434,13/2/2021,6
6435,13/3/2021,6
6436,13/4/2021,6
6437,13/5/2021,6
6438,13/6/2021,6
6427,13/7/2021,6
6439,13/8/2021,6
6428,13/9/2021,6
6440,13/10/2021,6
6429,13/11/2021,6
6441,13/12/2023,6
6442,10/6/2020,7
6443,10/7/2020,7
6444,10/8/2020,7
6445,10/9/2020,7
6446,10/10/2020,7
6447,10/11/2020,7
6448,10/12/2020,7
6449,10/1/2021,7
6450,10/2/2021,7
6451,10/3/2021,7
6452,10/4/2021,7
6453,10/5/2021,7
6454,10/6/2021,7
6455,10/7/2023,7
6456,6/5/2020,8
6457,6/6/2020,8
6458,6/7/2020,8
6459,6/8/2020,8
6460,6/9/2020,8
6461,6/10/2020,8
6462,6/11/2020,8
6463,6/12/2020,8
6464,6/1/2021,8
6465,6/2/2021,8
6466,6/3/2021,8
6467,6/4/2023,8
6469,30/1/2021,9
6470,28/2/2021,9
6471,28/3/2021,9
6468,28/4/2023,9
6472,4/1/2021,10
6473,4/2/2021,10
6474,4/3/2021,10
6475,4/4/2021,10
6476,4/5/2021,10
6477,4/6/2021,10
6478,4/7/2021,10
6479,4/8/2021,10
6480,4/9/2021,10
6481,4/10/2021,10
6482,4/11/2021,10
6483,4/12/2023,10
