pago_id,monto,fecha,uid,pid,pro_id
10528,5000,30/5/2020,20,86,20
10526,1000,31/5/2020,58,43,2
10428,6500,3/6/2020,146,5,16
10735,7000,6/6/2020,115,62,19
10583,6000,18/6/2020,19,70,7
10382,1000,25/6/2020,141,31,9
10487,1000,1/7/2020,133,40,8
10580,1000,3/7/2020,19,64,7
10625,5000,4/7/2020,46,27,15
10552,5500,8/7/2020,21,13,13
10388,6500,11/7/2020,141,51,5
10389,3500,14/7/2020,141,5,5
10723,6500,24/7/2020,4,39,1
10407,6000,15/8/2020,45,79,19
10578,3500,20/8/2020,72,36,11
10475,3500,23/8/2020,60,1,10
10738,3000,25/8/2020,115,99,19
10638,7000,25/8/2020,24,77,18
10739,9500,27/8/2020,115,37,19
10371,5500,28/8/2020,48,13,13
10421,6000,29/8/2020,59,66,13
10662,6000,9/9/2020,8,80,2
10663,4000,12/9/2020,8,78,19
10440,6500,15/9/2020,30,53,6
10492,1000,18/9/2020,70,93,8
10474,6500,25/9/2020,108,39,1
10400,8000,26/9/2020,35,35,7
10698,4000,28/9/2020,64,39,6
10493,6500,29/9/2020,70,49,1
10430,4500,4/10/2020,9,73,13
10684,4500,5/10/2020,52,73,13
10670,4500,6/10/2020,17,50,5
10373,6500,14/10/2020,48,5,16
10715,6000,18/10/2020,106,72,12
10623,7000,22/10/2020,46,50,3
10673,6000,30/10/2020,17,81,5
10451,6500,30/10/2020,47,82,7
10454,6000,30/10/2020,62,81,5
10721,1000,4/11/2020,4,31,9
10643,7500,9/11/2020,24,14,2
10392,1000,9/11/2020,35,20,7
10652,6000,10/11/2020,31,99,13
10699,8500,13/11/2020,64,17,6
10431,9000,15/11/2020,9,20,13
10404,8500,16/11/2020,45,45,16
10539,6000,19/11/2020,132,100,15
10571,4000,20/11/2020,72,72,10
10427,7500,29/11/2020,146,80,16
10502,6500,4/12/2020,51,72,19
10661,9500,6/12/2020,63,97,13
10471,6500,11/12/2020,41,26,6
10467,5000,14/12/2020,41,86,20
10660,3500,15/12/2020,63,1,10
10697,4500,18/12/2020,64,73,13
10671,8500,21/12/2020,17,65,5
10576,1000,22/12/2020,72,40,8
10375,8500,23/12/2020,48,99,9
