id,estado,fecha_inicio,pro_id,uid,fecha_termino,proveedor,costo
377,activa,12/12/2020,13,1,12/12/2023,Sony Liv,3100
378,activa,11/10/2021,7,1,11/12/2023,Star+,7100
119,activa,6/8/2021,15,2,6/12/2023,Discovery+,3700
124,activa,11/6/2020,3,2,11/12/2023,Crunchyroll,4400
123,activa,21/1/2021,1,2,21/12/2023,Netflix,4500
122,activa,16/4/2021,17,2,16/12/2023,Sky,6400
120,activa,28/7/2020,8,2,28/12/2023,Hulu,7000
121,activa,13/12/2020,10,2,13/12/2023,Stan,7900
261,activa,22/7/2020,4,3,22/12/2023,HBO+,3500
260,activa,8/3/2021,1,3,8/12/2023,Netflix,4500
262,activa,4/8/2021,10,3,4/12/2023,Stan,7900
338,activa,28/8/2020,13,5,28/12/2023,Sony Liv,3100
340,activa,20/8/2020,20,5,20/12/2023,DCCanal,4000
341,activa,27/10/2021,11,5,27/12/2023,Peackok,4000
416,activa,4/6/2020,9,6,4/12/2023,Showtime,3200
415,activa,28/6/2020,11,6,28/12/2023,Peackok,4000
224,activa,22/7/2021,9,7,22/12/2023,Showtime,3200
223,activa,5/7/2021,11,7,5/12/2023,Peackok,4000
222,activa,14/12/2021,16,7,14/12/2023,Rakuten TV,6500
336,activa,16/2/2021,19,8,16/12/2023,Mitele Plus,3700
337,activa,21/3/2021,2,8,21/12/2023,Amazon Prime Video,3700
333,activa,20/11/2021,7,8,20/12/2023,Star+,7100
28,activa,25/5/2020,20,9,25/12/2023,DCCanal,4000
63,activa,20/12/2020,18,10,20/12/2023,ATRESplayer,2800
66,activa,30/7/2021,5,10,30/12/2023,Funimation,3900
64,activa,25/11/2020,20,10,25/12/2023,DCCanal,4000
65,activa,15/8/2020,12,10,15/12/2023,Viu,5000
306,activa,19/8/2021,18,11,19/12/2023,ATRESplayer,2800
309,activa,27/8/2021,20,11,27/12/2023,DCCanal,4000
174,activa,12/8/2020,9,12,12/12/2023,Showtime,3200
176,activa,6/8/2020,15,12,6/12/2023,Discovery+,3700
173,activa,20/11/2020,5,12,20/12/2023,Funimation,3900
175,activa,4/8/2021,3,12,4/12/2023,Crunchyroll,4400
194,activa,7/1/2021,9,13,7/12/2023,Showtime,3200
190,activa,10/3/2021,15,13,10/12/2023,Discovery+,3700
192,activa,7/7/2020,5,13,7/12/2023,Funimation,3900
191,activa,30/5/2021,17,13,30/12/2023,Sky,6400
193,activa,6/4/2021,10,13,6/12/2023,Stan,7900
170,activa,2/6/2020,9,14,2/12/2023,Showtime,3200
169,activa,12/8/2021,15,14,12/12/2023,Discovery+,3700
167,activa,21/10/2020,5,14,21/12/2023,Funimation,3900
166,activa,8/11/2020,20,14,8/12/2023,DCCanal,4000
164,activa,19/11/2021,8,14,19/12/2023,Hulu,7000
168,activa,12/2/2021,7,14,12/12/2023,Star+,7100
200,activa,1/8/2020,18,15,1/12/2023,ATRESplayer,2800
202,activa,25/6/2021,13,15,25/12/2023,Sony Liv,3100
201,activa,1/12/2020,20,15,1/12/2023,DCCanal,4000
204,activa,5/11/2021,14,15,5/12/2023,Movistar+ Lite,7400
254,activa,23/2/2021,18,16,23/12/2023,ATRESplayer,2800
252,activa,25/9/2021,3,16,25/12/2023,Crunchyroll,4400
253,activa,29/6/2021,1,16,29/12/2023,Netflix,4500
249,activa,1/12/2020,12,16,1/12/2023,Viu,5000
250,activa,5/11/2020,16,16,5/12/2023,Rakuten TV,6500
247,activa,15/7/2020,6,16,15/12/2023,Disney+,6500
255,activa,23/7/2020,10,16,23/12/2023,Stan,7900
343,activa,13/5/2020,6,17,13/12/2023,Disney+,6500
187,activa,24/9/2020,3,18,24/12/2023,Crunchyroll,4400
186,activa,7/11/2020,17,18,7/12/2023,Sky,6400
188,activa,11/10/2020,7,18,11/12/2023,Star+,7100
219,activa,27/5/2020,16,19,27/12/2023,Rakuten TV,6500
220,activa,10/2/2021,14,19,10/12/2023,Movistar+ Lite,7400
218,activa,7/12/2021,10,19,7/12/2023,Stan,7900
161,activa,9/8/2021,5,20,9/12/2023,Funimation,3900
180,activa,28/5/2020,2,21,28/12/2023,Amazon Prime Video,3700
181,activa,10/9/2021,20,21,10/12/2023,DCCanal,4000
182,activa,25/1/2021,11,21,25/12/2023,Peackok,4000
208,activa,21/9/2020,18,22,21/12/2023,ATRESplayer,2800
211,activa,29/9/2021,13,22,29/12/2023,Sony Liv,3100
207,activa,27/11/2021,9,22,27/12/2023,Showtime,3200
206,activa,13/6/2020,4,22,13/12/2023,HBO+,3500
205,activa,29/5/2021,20,22,29/12/2023,DCCanal,4000
212,activa,14/11/2021,1,22,14/12/2023,Netflix,4500
210,activa,10/11/2021,6,22,10/12/2023,Disney+,6500
267,activa,9/1/2021,19,23,9/12/2023,Mitele Plus,3700
275,activa,14/8/2020,15,23,14/12/2023,Discovery+,3700
268,activa,31/7/2020,20,23,31/12/2023,DCCanal,4000
273,activa,9/11/2021,3,23,9/12/2023,Crunchyroll,4400
274,activa,9/2/2021,17,23,9/12/2023,Sky,6400
276,activa,29/4/2021,6,23,29/12/2023,Disney+,6500
271,activa,29/3/2021,16,23,29/12/2023,Rakuten TV,6500
272,activa,3/10/2021,10,23,3/12/2023,Stan,7900
303,activa,7/10/2020,18,24,7/12/2023,ATRESplayer,2800
305,activa,26/8/2020,20,24,26/12/2023,DCCanal,4000
302,activa,25/11/2020,16,24,25/12/2023,Rakuten TV,6500
372,activa,21/10/2020,5,25,21/12/2023,Funimation,3900
376,activa,25/6/2021,20,25,25/12/2023,DCCanal,4000
373,activa,25/8/2020,11,25,25/12/2023,Peackok,4000
375,activa,10/11/2020,1,25,10/12/2023,Netflix,4500
374,activa,13/9/2021,6,25,13/12/2023,Disney+,6500
292,activa,13/7/2020,4,26,13/12/2023,HBO+,3500
52,activa,5/5/2021,4,27,5/12/2023,HBO+,3500
232,activa,5/5/2020,13,28,5/12/2023,Sony Liv,3100
230,activa,17/10/2020,4,28,17/12/2023,HBO+,3500
231,activa,30/6/2021,15,28,30/12/2023,Discovery+,3700
234,activa,13/2/2021,19,28,13/12/2023,Mitele Plus,3700
29,activa,17/4/2021,6,30,17/12/2023,Disney+,6500
312,activa,23/11/2021,18,31,23/12/2023,ATRESplayer,2800
313,activa,17/9/2020,16,31,17/12/2023,Rakuten TV,6500
32,activa,25/4/2021,2,32,25/12/2023,Amazon Prime Video,3700
31,activa,30/9/2021,16,32,30/12/2023,Rakuten TV,6500
99,activa,28/5/2021,13,33,28/12/2023,Sony Liv,3100
103,activa,17/10/2021,9,33,17/12/2023,Showtime,3200
101,activa,1/5/2020,15,33,1/12/2023,Discovery+,3700
100,activa,28/2/2021,17,33,28/12/2023,Sky,6400
104,activa,22/9/2021,14,33,22/12/2023,Movistar+ Lite,7400
102,activa,28/9/2021,10,33,28/12/2023,Stan,7900
11,activa,2/10/2020,1,35,2/12/2023,Netflix,4500
12,activa,20/6/2021,16,35,20/12/2023,Rakuten TV,6500
10,activa,4/1/2021,7,35,4/12/2023,Star+,7100
145,activa,23/1/2021,20,36,23/12/2023,DCCanal,4000
144,activa,4/6/2020,1,36,4/12/2023,Netflix,4500
140,activa,18/8/2021,12,36,18/12/2023,Viu,5000
141,activa,24/7/2020,16,36,24/12/2023,Rakuten TV,6500
143,activa,3/7/2021,6,36,3/12/2023,Disney+,6500
110,activa,21/7/2020,18,37,21/12/2023,ATRESplayer,2800
107,activa,15/6/2021,4,37,15/12/2023,HBO+,3500
106,activa,8/8/2020,17,37,8/12/2023,Sky,6400
125,activa,3/11/2020,13,39,3/12/2023,Sony Liv,3100
127,activa,9/7/2021,2,39,9/12/2023,Amazon Prime Video,3700
126,activa,8/4/2021,14,39,8/12/2023,Movistar+ Lite,7400
22,activa,7/6/2021,13,40,7/12/2023,Sony Liv,3100
23,activa,29/9/2020,16,40,29/12/2023,Rakuten TV,6500
21,activa,25/5/2021,7,40,25/12/2023,Star+,7100
46,activa,29/6/2020,18,41,29/12/2023,ATRESplayer,2800
50,activa,9/4/2021,11,41,9/12/2023,Peackok,4000
47,activa,3/3/2021,20,41,3/12/2023,DCCanal,4000
49,activa,11/8/2021,1,41,11/12/2023,Netflix,4500
51,activa,11/8/2020,6,41,11/12/2023,Disney+,6500
197,activa,27/9/2021,3,43,27/12/2023,Crunchyroll,4400
199,activa,18/11/2020,8,43,18/12/2023,Hulu,7000
196,activa,25/6/2021,7,43,25/12/2023,Star+,7100
73,activa,8/4/2021,13,44,8/12/2023,Sony Liv,3100
76,activa,23/3/2021,5,44,23/12/2023,Funimation,3900
70,activa,26/9/2021,17,44,26/12/2023,Sky,6400
71,activa,22/5/2021,8,44,22/12/2023,Hulu,7000
74,activa,18/9/2021,14,44,18/12/2023,Movistar+ Lite,7400
72,activa,4/12/2021,10,44,4/12/2023,Stan,7900
14,activa,21/5/2021,16,45,21/12/2023,Rakuten TV,6500
277,activa,4/8/2020,3,46,4/12/2023,Crunchyroll,4400
280,activa,15/11/2021,16,46,15/12/2023,Rakuten TV,6500
5,activa,1/11/2020,13,48,1/12/2023,Sony Liv,3100
4,activa,19/4/2021,9,48,19/12/2023,Showtime,3200
3,activa,21/9/2020,20,48,21/12/2023,DCCanal,4000
2,activa,27/9/2020,16,48,27/12/2023,Rakuten TV,6500
297,activa,16/8/2021,18,49,16/12/2023,ATRESplayer,2800
296,activa,9/3/2021,4,49,9/12/2023,HBO+,3500
293,activa,6/6/2020,2,49,6/12/2023,Amazon Prime Video,3700
294,activa,7/9/2021,19,49,7/12/2023,Mitele Plus,3700
295,activa,30/6/2021,3,49,30/12/2023,Crunchyroll,4400
298,activa,29/4/2021,6,49,29/12/2023,Disney+,6500
245,activa,31/5/2021,9,50,31/12/2023,Showtime,3200
244,activa,2/8/2020,2,50,2/12/2023,Amazon Prime Video,3700
246,activa,3/11/2020,1,50,3/12/2023,Netflix,4500
243,activa,17/4/2021,7,50,17/12/2023,Star+,7100
350,activa,31/5/2021,9,52,31/12/2023,Showtime,3200
347,activa,11/7/2021,5,52,11/12/2023,Funimation,3900
349,activa,30/9/2020,6,52,30/12/2023,Disney+,6500
236,activa,14/11/2021,13,54,14/12/2023,Sony Liv,3100
240,activa,24/11/2021,9,54,24/12/2023,Showtime,3200
239,activa,16/1/2021,2,54,16/12/2023,Amazon Prime Video,3700
238,activa,1/3/2021,11,54,1/12/2023,Peackok,4000
235,activa,21/7/2021,12,54,21/12/2023,Viu,5000
242,activa,29/10/2021,10,54,29/12/2023,Stan,7900
136,activa,10/2/2021,11,55,10/12/2023,Peackok,4000
138,activa,16/12/2020,3,55,16/12/2023,Crunchyroll,4400
137,activa,20/8/2021,1,55,20/12/2023,Netflix,4500
258,activa,7/7/2020,11,56,7/12/2023,Peackok,4000
257,activa,6/10/2021,8,56,6/12/2023,Hulu,7000
259,activa,3/5/2020,14,56,3/12/2023,Movistar+ Lite,7400
156,activa,14/6/2020,13,57,14/12/2023,Sony Liv,3100
154,activa,25/8/2020,11,57,25/12/2023,Peackok,4000
157,activa,9/1/2021,1,57,9/12/2023,Netflix,4500
153,activa,17/1/2021,7,57,17/12/2023,Star+,7100
159,activa,2/7/2021,4,58,2/12/2023,HBO+,3500
158,activa,17/5/2021,15,58,17/12/2023,Discovery+,3700
160,activa,5/5/2020,2,58,5/12/2023,Amazon Prime Video,3700
19,activa,26/10/2021,18,59,26/12/2023,ATRESplayer,2800
331,activa,4/11/2020,15,61,4/12/2023,Discovery+,3700
332,activa,23/7/2020,19,61,23/12/2023,Mitele Plus,3700
329,activa,19/8/2020,5,61,19/12/2023,Funimation,3900
328,activa,16/11/2020,11,61,16/12/2023,Peackok,4000
330,activa,27/11/2020,16,61,27/12/2023,Rakuten TV,6500
38,activa,22/3/2021,5,62,22/12/2023,Funimation,3900
36,activa,11/9/2020,17,62,11/12/2023,Sky,6400
325,activa,18/11/2020,13,63,18/12/2023,Sony Liv,3100
322,activa,13/5/2020,5,63,13/12/2023,Funimation,3900
326,activa,29/8/2021,11,63,29/12/2023,Peackok,4000
323,activa,30/10/2020,1,63,30/12/2023,Netflix,4500
321,activa,13/10/2020,7,63,13/12/2023,Star+,7100
324,activa,25/8/2020,10,63,25/12/2023,Stan,7900
362,activa,11/4/2021,13,64,11/12/2023,Sony Liv,3100
363,activa,1/3/2021,3,64,1/12/2023,Crunchyroll,4400
364,activa,23/2/2021,7,64,23/12/2023,Star+,7100
301,activa,16/3/2021,9,65,16/12/2023,Showtime,3200
300,activa,3/12/2020,11,65,3/12/2023,Peackok,4000
299,activa,14/7/2021,10,65,14/12/2023,Stan,7900
69,activa,18/5/2020,13,66,18/12/2023,Sony Liv,3100
68,activa,12/5/2021,6,66,12/12/2023,Disney+,6500
67,activa,18/7/2021,14,66,18/12/2023,Movistar+ Lite,7400
81,activa,26/8/2021,18,67,26/12/2023,ATRESplayer,2800
79,activa,21/11/2020,2,67,21/12/2023,Amazon Prime Video,3700
78,activa,9/3/2021,5,67,9/12/2023,Funimation,3900
128,activa,27/2/2021,18,68,27/12/2023,ATRESplayer,2800
130,activa,1/4/2021,12,68,1/12/2023,Viu,5000
129,activa,24/8/2021,6,68,24/12/2023,Disney+,6500
86,activa,21/5/2021,14,69,21/12/2023,Movistar+ Lite,7400
88,activa,4/11/2020,4,70,4/12/2023,HBO+,3500
90,activa,15/2/2021,1,70,15/12/2023,Netflix,4500
89,activa,15/5/2020,8,70,15/12/2023,Hulu,7000
150,activa,24/1/2021,20,71,24/12/2023,DCCanal,4000
214,activa,7/7/2020,9,72,7/12/2023,Showtime,3200
217,activa,1/8/2020,11,72,1/12/2023,Peackok,4000
215,activa,12/4/2021,8,72,12/12/2023,Hulu,7000
216,activa,9/6/2020,10,72,9/12/2023,Stan,7900
371,activa,12/4/2021,4,73,12/12/2023,HBO+,3500
370,activa,19/9/2021,19,73,19/12/2023,Mitele Plus,3700
369,activa,14/9/2020,5,73,14/12/2023,Funimation,3900
368,activa,7/2/2021,3,73,7/12/2023,Crunchyroll,4400
367,activa,13/11/2020,6,73,13/12/2023,Disney+,6500
134,activa,1/5/2021,4,74,1/12/2023,HBO+,3500
133,activa,5/3/2021,15,74,5/12/2023,Discovery+,3700
132,activa,26/9/2021,17,74,26/12/2023,Sky,6400
135,activa,22/10/2020,6,74,22/12/2023,Disney+,6500
146,activa,4/10/2020,5,75,4/12/2023,Funimation,3900
117,activa,27/2/2021,18,76,27/12/2023,ATRESplayer,2800
115,activa,21/6/2020,13,76,21/12/2023,Sony Liv,3100
116,activa,17/10/2020,11,76,17/12/2023,Peackok,4000
286,activa,23/10/2020,18,77,23/12/2023,ATRESplayer,2800
284,activa,22/9/2020,4,77,22/12/2023,HBO+,3500
285,activa,4/7/2020,6,77,4/12/2023,Disney+,6500
98,activa,23/5/2021,10,80,23/12/2023,Stan,7900
17,activa,15/9/2020,18,82,15/12/2023,ATRESplayer,2800
264,activa,4/6/2021,4,87,4/12/2023,HBO+,3500
263,activa,24/8/2020,8,87,24/12/2023,Hulu,7000
419,activa,12/10/2020,18,90,12/12/2023,ATRESplayer,2800
417,activa,13/8/2020,3,90,13/12/2023,Crunchyroll,4400
97,activa,9/9/2020,19,92,9/12/2023,Mitele Plus,3700
95,activa,30/5/2021,14,92,30/12/2023,Movistar+ Lite,7400
406,activa,30/8/2021,19,93,30/12/2023,Mitele Plus,3700
403,activa,25/11/2020,11,93,25/12/2023,Peackok,4000
405,activa,6/3/2021,7,93,6/12/2023,Star+,7100
404,activa,6/11/2021,10,93,6/12/2023,Stan,7900
266,activa,21/8/2021,5,95,21/12/2023,Funimation,3900
228,activa,15/4/2021,9,97,15/12/2023,Showtime,3200
227,activa,25/3/2021,4,97,25/12/2023,HBO+,3500
229,activa,29/7/2020,20,97,29/12/2023,DCCanal,4000
361,activa,8/4/2021,20,102,8/12/2023,DCCanal,4000
45,activa,11/9/2021,2,105,11/12/2023,Amazon Prime Video,3700
41,activa,13/11/2020,15,105,13/12/2023,Discovery+,3700
43,activa,14/2/2021,5,105,14/12/2023,Funimation,3900
42,activa,22/5/2020,6,105,22/12/2023,Disney+,6500
44,activa,5/1/2021,10,105,5/12/2023,Stan,7900
396,activa,9/11/2021,18,106,9/12/2023,ATRESplayer,2800
393,activa,14/12/2021,1,106,14/12/2023,Netflix,4500
390,activa,3/12/2021,8,106,3/12/2023,Hulu,7000
392,activa,12/12/2021,7,106,12/12/2023,Star+,7100
54,activa,25/6/2021,2,108,25/12/2023,Amazon Prime Video,3700
53,activa,24/8/2020,1,108,24/12/2023,Netflix,4500
57,activa,28/3/2021,6,108,28/12/2023,Disney+,6500
55,activa,30/1/2021,10,108,30/12/2023,Stan,7900
413,activa,9/7/2020,2,115,9/12/2023,Amazon Prime Video,3700
411,activa,24/12/2020,5,115,24/12/2023,Funimation,3900
407,activa,11/11/2020,11,115,11/12/2023,Peackok,4000
414,activa,26/2/2021,20,115,26/12/2023,DCCanal,4000
410,activa,14/8/2020,12,115,14/12/2023,Viu,5000
409,activa,5/1/2021,14,115,5/12/2023,Movistar+ Lite,7400
360,activa,1/11/2020,9,119,1/12/2023,Showtime,3200
359,activa,3/12/2021,4,119,3/12/2023,HBO+,3500
357,activa,18/8/2020,19,119,18/12/2023,Mitele Plus,3700
353,activa,31/3/2021,5,119,31/12/2023,Funimation,3900
352,activa,20/6/2020,7,119,20/12/2023,Star+,7100
355,activa,15/2/2021,14,119,15/12/2023,Movistar+ Lite,7400
226,activa,15/2/2021,11,122,15/12/2023,Peackok,4000
225,activa,28/12/2020,6,122,28/12/2023,Disney+,6500
351,activa,13/6/2020,11,123,13/12/2023,Peackok,4000
346,activa,31/10/2020,5,130,31/12/2023,Funimation,3900
345,activa,29/8/2021,14,130,29/12/2023,Movistar+ Lite,7400
172,activa,22/4/2021,15,132,22/12/2023,Discovery+,3700
171,activa,19/11/2021,3,132,19/12/2023,Crunchyroll,4400
84,activa,30/7/2021,11,133,30/12/2023,Peackok,4000
85,activa,13/8/2020,7,133,13/12/2023,Star+,7100
320,activa,21/9/2020,12,134,21/12/2023,Viu,5000
319,activa,29/7/2021,16,134,29/12/2023,Rakuten TV,6500
6,activa,13/10/2020,15,141,13/12/2023,Discovery+,3700
386,activa,28/6/2021,5,142,28/12/2023,Funimation,3900
385,activa,13/12/2021,16,142,13/12/2023,Rakuten TV,6500
388,activa,18/8/2021,7,142,18/12/2023,Star+,7100
384,activa,9/9/2020,14,142,9/12/2023,Movistar+ Lite,7400
