id,estado,fecha_inicio,pro_id,uid,fecha_termino,proveedor,costo
377,activa,12/12/2020,13,1,12/12/2023,Sony Liv,3100
382,cancelada,13/11/2021,12,1,24/11/2023,Viu,5000
381,cancelada,5/8/2020,8,1,26/11/2020,Hulu,7000
378,activa,11/10/2021,7,1,11/12/2023,Star+,7100
379,cancelada,16/6/2021,14,1,19/11/2023,Movistar+ Lite,7400
380,cancelada,12/12/2021,10,1,18/12/2023,Stan,7900
119,activa,6/8/2021,15,2,6/12/2023,Discovery+,3700
124,activa,11/6/2020,3,2,11/12/2023,Crunchyroll,4400
123,activa,21/1/2021,1,2,21/12/2023,Netflix,4500
122,activa,16/4/2021,17,2,16/12/2023,Sky,6400
120,activa,28/7/2020,8,2,28/12/2023,Hulu,7000
121,activa,13/12/2020,10,2,13/12/2023,Stan,7900
261,activa,22/7/2020,4,3,22/12/2023,HBO+,3500
260,activa,8/3/2021,1,3,8/12/2023,Netflix,4500
262,activa,4/8/2021,10,3,4/12/2023,Stan,7900
397,cancelada,26/6/2021,9,4,31/8/2023,Showtime,3200
398,cancelada,25/7/2020,5,4,10/10/2020,Funimation,3900
400,cancelada,22/8/2020,1,4,27/9/2023,Netflix,4500
399,cancelada,30/11/2020,7,4,2/10/2023,Star+,7100
338,activa,28/8/2020,13,5,28/12/2023,Sony Liv,3100
340,activa,20/8/2020,20,5,20/12/2023,DCCanal,4000
341,activa,27/10/2021,11,5,27/12/2023,Peackok,4000
339,cancelada,9/11/2021,7,5,3/12/2023,Star+,7100
416,activa,4/6/2020,9,6,4/12/2023,Showtime,3200
415,activa,28/6/2020,11,6,28/12/2023,Peackok,4000
224,activa,22/7/2021,9,7,22/12/2023,Showtime,3200
223,activa,5/7/2021,11,7,5/12/2023,Peackok,4000
222,activa,14/12/2021,16,7,14/12/2023,Rakuten TV,6500
336,activa,16/2/2021,19,8,16/12/2023,Mitele Plus,3700
337,activa,21/3/2021,2,8,21/12/2023,Amazon Prime Video,3700
334,cancelada,3/11/2021,3,8,9/11/2023,Crunchyroll,4400
335,cancelada,15/7/2021,12,8,28/10/2023,Viu,5000
333,activa,20/11/2021,7,8,20/12/2023,Star+,7100
27,cancelada,30/10/2021,13,9,12/11/2023,Sony Liv,3100
28,activa,25/5/2020,20,9,25/12/2023,DCCanal,4000
63,activa,20/12/2020,18,10,20/12/2023,ATRESplayer,2800
66,activa,30/7/2021,5,10,30/12/2023,Funimation,3900
64,activa,25/11/2020,20,10,25/12/2023,DCCanal,4000
65,activa,15/8/2020,12,10,15/12/2023,Viu,5000
306,activa,19/8/2021,18,11,19/12/2023,ATRESplayer,2800
309,activa,27/8/2021,20,11,27/12/2023,DCCanal,4000
308,cancelada,7/9/2021,1,11,28/9/2023,Netflix,4500
307,cancelada,13/10/2020,16,11,30/6/2023,Rakuten TV,6500
310,cancelada,3/10/2020,7,11,11/8/2023,Star+,7100
174,activa,12/8/2020,9,12,12/12/2023,Showtime,3200
176,activa,6/8/2020,15,12,6/12/2023,Discovery+,3700
173,activa,20/11/2020,5,12,20/12/2023,Funimation,3900
175,activa,4/8/2021,3,12,4/12/2023,Crunchyroll,4400
194,activa,7/1/2021,9,13,7/12/2023,Showtime,3200
190,activa,10/3/2021,15,13,10/12/2023,Discovery+,3700
192,activa,7/7/2020,5,13,7/12/2023,Funimation,3900
191,activa,30/5/2021,17,13,30/12/2023,Sky,6400
189,cancelada,13/7/2021,6,13,16/12/2023,Disney+,6500
193,activa,6/4/2021,10,13,6/12/2023,Stan,7900
170,activa,2/6/2020,9,14,2/12/2023,Showtime,3200
169,activa,12/8/2021,15,14,12/12/2023,Discovery+,3700
167,activa,21/10/2020,5,14,21/12/2023,Funimation,3900
166,activa,8/11/2020,20,14,8/12/2023,DCCanal,4000
163,cancelada,12/5/2021,17,14,4/10/2023,Sky,6400
164,activa,19/11/2021,8,14,19/12/2023,Hulu,7000
168,activa,12/2/2021,7,14,12/12/2023,Star+,7100
165,cancelada,26/6/2021,10,14,16/9/2023,Stan,7900
200,activa,1/8/2020,18,15,1/12/2023,ATRESplayer,2800
202,activa,25/6/2021,13,15,25/12/2023,Sony Liv,3100
203,cancelada,31/12/2020,15,15,29/11/2023,Discovery+,3700
201,activa,1/12/2020,20,15,1/12/2023,DCCanal,4000
204,activa,5/11/2021,14,15,5/12/2023,Movistar+ Lite,7400
254,activa,23/2/2021,18,16,23/12/2023,ATRESplayer,2800
248,cancelada,29/6/2020,15,16,26/2/2023,Discovery+,3700
251,cancelada,12/7/2021,5,16,20/11/2023,Funimation,3900
