id,estado,fecha_inicio,id_usuario,fecha_termino,id_videojuego,mensualidad
52,canceled,10/6/2020,127,8/7/2020,498,5000
335,canceled,17/6/2020,129,31/7/2020,731,9500
328,canceled,25/5/2020,78,1/8/2020,9630,5000
105,canceled,23/5/2020,93,8/9/2020,549,4000
74,canceled,17/7/2020,89,13/10/2020,126,6500
159,canceled,9/7/2020,133,16/10/2020,2031,5000
93,canceled,10/10/2020,54,3/11/2020,1070,5500
361,canceled,24/10/2020,94,20/11/2020,18,5000
102,canceled,19/9/2020,112,22/11/2020,498,5000
127,canceled,11/5/2020,110,23/11/2020,9630,5000
157,canceled,13/7/2020,133,10/12/2020,1070,5500
355,canceled,30/7/2020,135,20/12/2020,7334,4500
21,canceled,11/6/2020,9,22/12/2020,6036,3500
307,canceled,1/8/2020,144,15/1/2023,7334,4500
61,canceled,25/5/2020,125,16/1/2023,1070,5500
283,canceled,23/9/2020,80,11/2/2023,9630,5000
264,canceled,28/5/2020,134,28/2/2023,11208,3000
121,canceled,14/7/2020,148,20/3/2023,239,5000
266,canceled,26/11/2020,134,20/3/2023,549,4000
291,canceled,19/9/2020,10,23/3/2023,74,4000
326,canceled,16/12/2020,78,27/3/2023,2031,5000
300,canceled,7/6/2020,30,30/3/2023,549,4000
363,canceled,28/1/2021,94,9/4/2023,239,5000
248,canceled,30/3/2021,38,21/4/2023,9630,5000
153,canceled,19/11/2020,142,26/4/2023,9630,5000
59,canceled,3/4/2021,99,27/4/2023,126,6500
311,canceled,26/7/2020,46,27/4/2023,6036,3500
324,canceled,13/8/2020,138,28/4/2023,9730,6500
209,canceled,21/3/2021,85,3/5/2023,230,7500
243,canceled,29/4/2021,19,4/5/2023,498,5000
340,canceled,10/6/2020,129,15/5/2023,1068,6500
115,canceled,19/8/2020,79,15/5/2023,126,6500
210,canceled,15/1/2021,90,17/5/2023,2031,5000
313,canceled,1/4/2021,44,26/5/2023,1074,8500
25,canceled,29/9/2020,109,4/6/2023,76,9500
298,canceled,2/10/2020,30,13/6/2023,5503,5000
278,canceled,17/5/2020,12,15/6/2023,74,4000
178,canceled,1/5/2021,103,15/6/2023,7334,4500
211,canceled,8/5/2021,90,19/6/2023,7334,4500
16,canceled,19/4/2021,115,27/6/2023,126,6500
166,canceled,25/12/2020,64,28/6/2023,230,7500
349,canceled,1/7/2020,130,1/7/2023,126,6500
81,canceled,11/5/2021,96,8/7/2023,230,7500
163,canceled,12/4/2021,124,17/7/2023,2031,5000
56,canceled,21/5/2021,99,24/7/2023,2031,5000
1,canceled,14/6/2021,102,25/7/2023,1068,6500
193,canceled,6/7/2021,121,27/7/2023,493,8000
50,canceled,23/6/2020,146,30/7/2023,1070,5500
301,canceled,23/11/2020,147,7/8/2023,74,4000
234,canceled,11/3/2021,35,11/8/2023,76,9500
369,canceled,12/5/2021,100,14/8/2023,9630,5000
290,canceled,7/7/2021,80,17/8/2023,1384,6500
38,canceled,25/4/2021,107,18/8/2023,17000,5500
123,canceled,20/6/2021,148,19/8/2023,375,9500
19,canceled,11/9/2020,122,20/8/2023,11208,3000
68,canceled,30/9/2020,125,28/8/2023,5503,5000
130,canceled,17/3/2021,110,3/9/2023,493,8000
106,canceled,26/8/2021,93,9/9/2023,26758,7000
132,canceled,11/4/2021,81,10/9/2023,239,5000
245,canceled,13/8/2021,91,19/9/2023,2031,5000
101,canceled,16/9/2021,112,21/9/2023,76,9500
48,canceled,31/10/2020,146,22/9/2023,5503,5000
368,canceled,16/3/2021,100,3/10/2023,549,4000
165,canceled,30/8/2021,64,3/10/2023,17000,5500
334,canceled,10/10/2020,129,5/10/2023,1074,8500
90,canceled,26/4/2021,40,7/10/2023,549,4000
303,canceled,25/6/2021,45,14/10/2023,7334,4500
126,canceled,14/8/2021,110,17/10/2023,230,7500
43,canceled,23/9/2021,107,20/10/2023,731,9500
241,canceled,15/10/2020,136,22/10/2023,493,8000
189,canceled,27/9/2021,111,25/10/2023,6036,3500
36,canceled,28/11/2020,116,29/10/2023,1070,5500
