sid,cid,titulo,duracion,numero
1,2,Episode 2,66,1
20,124,Las aventuras de Supergirl,40,2
4,63,El viajero,20,7
8,89,Carla,58,3
5,73,Materia oscura,54,2
2,8,El del pulgar,21,1
5,75,Los sobrevivientes,59,3
28,147,Pilot,40,1
4,55,Pesadilla,21,3
6,79,Relox,32,2
7,86,Hemos vuelto,50,3
27,146,The Birthday,49,3
3,37,El maestro del juego,23,2
3,38,El hombre del pilar,23,2
23,132,Pilot,22,1
4,61,La pupila de la serpiente,20,6
2,12,El de la leche materna,22,2
4,59,El precio del poder,20,5
19,122,Los siete magníficos,58,3
6,76,El comienzo,29,1
17,114,La noche de un día difícil,40,1
25,139,Los que acechan bajo tierra,23,2
14,105,Partida x Y x Compañeros,24,1
12,99,El fin y el comienzo,20,1
3,33,Juventud con dio,23,1
3,48,Los Hermanos Nijimura (Parte 1),23,4
24,137,Señal de humo,23,3
1,68,Episode 4,65,2
2,30,El de los Kips,22,5
4,56,Viento,20,3
11,98,Si: soy la chica nueva,56,3
26,142,El estado avatar,24,2
3,47,¡Josuke Higashikata! Conoce a Angelo,23,4
30,155,Smith y Jones,45,2
26,141,El niño en el iceberg,24,1
12,101,Saludos,21,3
2,21,El de la medusa,22,4
20,125,La mujer de acero,42,3
7,84,Efectuar lo acordado,50,1
13,103,Capítulo 14: Un beso antes de morir,60,2
5,71,Mentiras,44,1
18,117,Panico en la fiesta del palacio,21,1
22,130,Episode 1,42,2
10,95,Empieza el juego,24,3
10,94,Libreta de héroes,24,2
6,77,El arbol furioso,31,1
27,145,The Return,49,2
5,72,Principios y finales,53,2
4,57,La amenaza que se acerca en silencio,20,4
30,154,Nueva tierra,46,2
19,121,En mi tiempo de morir,50,2
8,87,Bienvenidos,60,1
4,58,La invasión de Akatsuki,21,4
29,152,Many Happy Returns,60,3
3,32,Una carta del pasado,23,1
20,123,Más fuertes juntos,35,1
2,23,El de las esposas,24,4
4,64,El sucesor de la técnica prohibida,22,7
11,97,La primera polaroid,62,2
4,60,Un asunto shinobi,21,5
1,1,Episode 1,62,1
2,9,El de George Stephanopoulos,23,1
11,96,Casete 1: lado A,60,1
2,26,El de después de que Ross dijera el nombre de Rachel,22,5
3,42,¡¿quién será el juez?!,23,3
31,157,Psycho,45,2
28,149,Los contratiempos de la Fortuna,45,3
24,136,El titán bestia,23,2
1,5,Episode 5,64,1
4,53,El nuevo objetivo,22,2
10,93,Midoriya Izuku: Origen,24,1
1,4,Episode 4,65,1
9,92,Olding,58,3
2,20,El de Frank Jr.,26,3
17,116,Llegó el momento,45,3
22,129,Episode 1,40,1
9,91,Misadventure,60,2
3,39,Jojo vs. la forma de vida definitiva,23,2
4,52,El Akatsuki comienza a moverse,20,1
1,66,Episode 2,66,2
25,140,Interludio,23,3
17,115,Gotas de lluvia sobre mi cabeza,42,2
1,65,Episode 1,62,2
13,104,Capítulo 36: Día del Trabajo,62,3
3,50,Los Hermanos Nijimura (Parte 3),23,4
15,109,Empapada,62,2
18,119,El recuerdo de un recuerdo,21,3
28,148,Verano: una especie de maravilla,42,2
3,43,La maldición de dio,23,3
21,126,Simpsons Roasting on an Open Fire,20,1
16,111,Piloto,43,1
26,143,El despertar,24,3
3,31,Dio: el invasor,23,1
30,153,Rose,45,1
3,34,Overdrive,23,1
6,83,Cirugía,32,4
2,18,El de la mermelada,24,3
23,134,The Rickshank Rickdemption,22,3
2,22,El de la gata,26,4
3,45,Silver Chariot,23,3
19,120,Wendigo,55,1
3,40,Los guerreros definitivos de tiempos antiguos,23,2
2,7,El de la ecografía final,20,1
22,131,Episode 1,41,3
2,15,El de la carne para cinco y una berenjena,26,2
13,102,Capítulo 1: Corrientes traicioneras,55,1
2,14,El esposo de Phoebe,24,2
2,6,En el que todo empieza,22,1
14,106,Un x Guardián x Peligroso,24,2
2,28,El de los trillizos,24,5
3,49,Los Hermanos Nijimura (Parte 2),23,4
27,144,Pilot,49,1
1,3,Episode 3,59,1
1,67,Episode 3,59,2
2,19,El del túnel metafórico,22,3
3,35,Los caballeros oscuros,23,1
2,27,El de los besos,24,5
3,36,El jojo de nueva york,23,2
3,46,¡Jotaro Kujo! Conoce a Josuke Higashikata,23,4
16,112,Aceptación,42,2
15,110,Los mejores planes,59,3
18,118,Llegó de la Nocheósfera,21,2
24,135,A ti: 2.000 años en el futuro,23,1
4,54,¡Formación: el nuevo equipo Kakashi!,20,2
3,41,un hombre poseído por un espíritu maligno,23,3
3,44,Tower of gray,23,3
2,24,El de los bailes de salón,24,4
2,13,El de cuando muere Heckles,23,2
7,85,Se acabaron las máscaras,50,2
4,62,Ojo de halcón,20,6
2,17,El de cuando nadie está listo,22,3
16,113,Sentido,44,3
2,29,El que Phoebe odia la PBS,26,5
12,100,¡Vamos a Tokyo!,22,2
9,90,Wolferton Splash,62,1
6,81,La maquina del tiempo,31,3
2,11,El de la nueva novia de Ross,25,2
29,150,Estudio en rosa,60,1
6,78,Vacaciones,34,2
1,69,Episode 5,64,2
4,51,El regreso a casa,22,1
6,82,La mona lisa,32,4
5,70,Secretos,51,1
8,88,20 horas desaparecido,55,2
5,74,Deja vu,60,3
29,151,Escándalo en Belgravia,60,2
25,138,El alquimista de acero,23,1
2,10,El del detergente de lavandería germano-oriental,22,1
23,133,A Rickle in Time,22,2
14,107,Respuesta de papa,24,3
15,108,Antártida,60,1
21,127,"Bart Gets an ""F""",20,2
2,16,El de la fantasía de la Princesa Leia,25,3
6,80,Por el sr. manguera,28,3
2,25,El de la nueva novia de Joey,26,4
31,156,Exposed,44,1
21,128,Stark Raving Dad,20,3
